Date/Time,Homescreen; Z; PS1000-4; Chamber Temp #1(°C),Homescreen; Z; PS1000-4; Chamber Temp #2(°C),Homescreen; Z; PS1000-4; Control Temperature(°C),Homescreen; Z; PS1000-4; Chamber Humidity #1(%Rh),Homescreen; Z; PS1000-4; Chamber Humidity #2(%Rh),Homescreen; Z; PS1000-4; Control Humidity(%Rh),Homescreen; Z; PS1000-4; IO[A]; LED 1 Temperature(°C),Homescreen; Z; PS1000-4; IO[A]; LED 2 Temperature(°C),Homescreen; Z; PS1000-4; IO[A]; LED 3 Temperature(°C),Homescreen; Z; PS1000-4; Vapor Press Deficit(mb),Homescreen; Z; PS1000-4; Chamber PAR Level(µmol),Homescreen; Z; PS1000-4; IO[C]; Chamber CO2 Reading(ppm),Homescreen; Z; PS1000-4; IO[A]; LED RECIRC IN(°C),Homescreen; Z; PS1000-4; IO[B]; LED RECIRC OUT(°C),Homescreen; Z; PS1000-4; IO[C]; CO2 Flow Rate(mL/M),Homescreen; Z; PS1000-4; Time Above Threshold(0:00),Homescreen; Z; PS1000-4; Temperature Setpoint(°C),Homescreen; Z; PS1000-4; VPD Setpoint(mb),Homescreen; Z; PS1000-4; Current Program Number(N/A),Homescreen; Z; PS1000-4; CO2 Setpoint(ppm)
2023/07/12 00:15:00,20.35,20.25,20.35,75.30,76.30,75.30,23.17,24.76,24.33,5.91,2.0,393.0,22.93,22.49,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:16:00,20.29,20.21,20.29,79.40,80.40,79.40,23.05,24.49,24.21,4.89,2.0,392.0,22.93,22.49,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:17:00,20.31,20.22,20.31,78.60,80.00,78.60,22.93,24.24,24.08,5.09,2.0,393.0,22.95,22.49,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:18:00,20.17,20.09,20.17,73.20,74.40,73.20,22.77,23.97,23.93,6.33,2.0,396.0,22.98,22.49,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:19:00,20.05,19.97,20.05,77.30,78.10,77.30,22.65,23.74,23.81,5.32,2.0,394.0,22.98,22.49,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:20:00,20.03,19.95,20.03,79.40,80.60,79.40,22.54,23.54,23.70,4.82,2.0,394.0,22.99,22.49,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:21:00,19.94,19.83,19.94,72.80,74.20,72.80,22.38,23.32,23.55,6.34,2.0,395.0,23.03,22.49,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:22:00,19.79,19.67,19.79,75.60,76.50,75.60,22.25,23.10,23.42,5.63,2.0,396.0,23.03,22.49,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:23:00,19.75,19.61,19.75,79.00,80.20,79.00,22.16,22.93,23.31,4.83,2.0,395.0,23.03,22.49,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:24:00,19.66,19.52,19.66,74.10,75.80,74.10,21.85,22.72,23.16,5.93,2.0,396.0,23.25,22.04,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:25:00,19.49,19.35,19.49,74.30,75.60,74.30,21.47,22.48,22.90,5.81,2.0,397.0,22.93,16.41,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:26:00,19.43,19.26,19.43,78.00,79.40,78.00,21.27,22.25,22.57,4.96,2.0,396.0,22.92,13.48,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:27:00,19.34,19.16,19.34,72.60,74.40,72.60,20.88,22.05,22.33,6.15,2.0,398.0,22.98,13.60,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:28:00,19.13,18.94,19.13,72.30,73.50,72.30,20.87,21.87,22.15,6.14,2.0,399.0,22.91,13.85,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:29:00,19.00,18.81,19.00,76.80,78.20,76.80,20.87,21.73,21.98,5.09,2.0,398.0,22.84,14.24,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:30:00,18.90,18.70,18.90,72.70,74.50,72.70,20.86,21.59,21.80,5.95,2.0,399.0,22.77,14.76,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:31:00,18.69,18.48,18.69,71.30,72.70,71.30,20.79,21.42,21.61,6.19,2.0,399.0,22.71,15.39,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:32:00,18.57,18.34,18.57,75.80,77.40,75.80,20.74,21.29,21.45,5.17,2.0,400.0,22.64,16.01,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:33:00,18.46,18.22,18.46,71.90,74.00,71.90,20.64,21.15,21.29,5.96,2.0,400.0,22.55,16.62,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:34:00,18.26,18.00,18.26,70.30,72.00,70.30,20.51,20.99,21.12,6.22,2.0,401.0,22.44,17.16,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:35:00,18.13,17.84,18.13,74.50,76.30,74.50,20.41,20.86,20.98,5.31,2.0,401.0,22.32,17.60,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:36:00,18.09,17.77,18.09,72.70,74.80,72.70,20.34,20.74,20.88,5.67,2.0,402.0,22.19,17.97,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:37:00,18.20,17.84,18.20,69.30,71.10,69.30,20.32,20.71,20.84,6.42,2.0,401.0,22.08,18.33,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:38:00,18.63,18.21,18.63,71.20,73.00,71.20,20.34,20.71,20.84,6.17,2.0,402.0,21.98,18.64,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:39:00,19.24,18.78,19.24,73.60,75.50,73.60,20.43,20.77,20.92,5.89,2.0,401.0,21.90,18.92,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:40:00,19.77,19.29,19.77,74.60,76.60,74.60,20.47,20.81,20.94,5.85,2.0,400.0,21.82,19.18,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:41:00,19.91,19.48,19.91,75.20,77.30,75.20,20.47,20.81,20.94,5.77,2.0,400.0,21.77,19.43,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:42:00,19.81,19.43,19.81,75.70,77.80,75.70,20.47,20.75,20.90,5.61,2.0,401.0,21.72,19.64,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:43:00,19.62,19.28,19.62,74.80,76.90,74.80,20.42,20.68,20.83,5.75,2.0,401.0,21.68,19.83,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:44:00,19.39,19.08,19.39,73.50,75.50,73.50,20.36,20.60,20.76,5.96,2.0,401.0,21.65,19.99,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:45:00,19.15,18.87,19.15,72.90,74.70,72.90,20.29,20.52,20.68,6.01,2.0,402.0,21.63,20.15,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:46:00,18.92,18.65,18.92,72.70,74.40,72.70,20.22,20.43,20.60,5.97,2.0,403.0,21.63,20.30,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:47:00,18.71,18.44,18.71,72.60,74.40,72.60,20.14,20.34,20.51,5.90,2.0,403.0,21.58,20.43,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:48:00,18.66,18.35,18.66,72.90,74.60,72.90,20.12,20.31,20.49,5.83,2.0,404.0,21.58,20.55,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:49:00,19.00,18.63,19.00,72.60,74.40,72.60,20.18,20.34,20.55,6.01,2.0,404.0,21.58,20.65,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:50:00,19.50,19.10,19.50,72.00,73.80,72.00,20.27,20.44,20.65,6.35,2.0,404.0,21.58,20.75,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:51:00,19.98,19.56,19.98,71.20,73.00,71.20,20.36,20.53,20.73,6.73,2.0,404.0,21.58,20.83,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:52:00,20.14,19.72,20.14,70.50,72.50,70.50,20.37,20.55,20.73,6.95,2.0,404.0,21.58,20.92,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:53:00,19.96,19.58,19.96,70.40,72.50,70.40,20.31,20.49,20.67,6.89,2.0,405.0,21.59,21.00,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:54:00,19.67,19.32,19.67,70.70,72.70,70.70,20.26,20.42,20.60,6.71,2.0,405.0,21.63,21.07,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:55:00,19.39,19.05,19.39,71.00,73.00,71.00,20.19,20.34,20.52,6.52,2.0,405.0,21.63,21.13,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:56:00,19.12,18.79,19.12,71.30,73.30,71.30,20.12,20.27,20.44,6.34,2.0,406.0,21.64,21.19,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:57:00,18.92,18.58,18.92,71.70,73.70,71.70,20.07,20.21,20.39,6.18,2.0,406.0,21.68,21.24,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:58:00,19.05,18.68,19.05,71.90,73.80,71.90,20.10,20.23,20.42,6.18,2.0,406.0,21.68,21.29,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 00:59:00,19.51,19.11,19.51,71.50,73.30,71.50,20.21,20.35,20.53,6.46,2.0,407.0,21.73,21.34,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:00:00,20.02,19.59,20.02,70.80,72.60,70.80,20.32,20.46,20.63,6.84,2.0,406.0,21.73,21.38,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:01:00,20.33,19.90,20.33,70.10,72.10,70.10,20.37,20.51,20.69,7.12,2.0,405.0,21.78,21.43,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:02:00,20.27,19.86,20.27,69.90,72.00,69.90,20.35,20.50,20.66,7.15,2.0,406.0,21.78,21.47,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:03:00,20.02,19.63,20.02,70.30,72.40,70.30,20.31,20.44,20.61,6.95,2.0,407.0,21.82,21.51,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:04:00,19.70,19.35,19.70,70.80,72.80,70.80,20.25,20.38,20.53,6.70,2.0,407.0,21.83,21.55,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:05:00,19.39,19.08,19.39,71.20,73.20,71.20,20.19,20.32,20.46,6.47,2.0,407.0,21.85,21.59,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:06:00,19.13,18.83,19.13,71.70,73.60,71.70,20.12,20.26,20.39,6.27,2.0,408.0,21.88,21.62,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:07:00,19.15,18.80,19.15,72.10,73.90,72.10,20.14,20.26,20.40,6.19,2.0,408.0,21.88,21.65,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:08:00,19.51,19.13,19.51,71.80,73.50,71.80,20.22,20.35,20.48,6.40,2.0,409.0,21.93,21.69,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:09:00,19.97,19.54,19.97,71.20,73.10,71.20,20.32,20.45,20.58,6.71,2.0,408.0,21.93,21.70,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:10:00,20.36,19.93,20.36,70.60,72.50,70.60,20.40,20.54,20.66,7.02,2.0,408.0,21.97,21.75,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:11:00,20.49,20.07,20.49,70.10,72.20,70.10,20.42,20.56,20.69,7.19,2.0,408.0,21.98,21.76,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:12:00,20.29,19.91,20.29,70.20,72.20,70.20,20.40,20.54,20.64,7.10,2.0,409.0,22.01,21.80,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:13:00,19.98,19.64,19.98,70.50,72.50,70.50,20.35,20.48,20.57,6.89,2.0,409.0,22.03,21.81,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:14:00,19.67,19.35,19.67,70.80,72.80,70.80,20.28,20.42,20.51,6.68,2.0,409.0,22.03,21.85,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:15:00,19.38,19.06,19.38,71.10,73.10,71.10,20.20,20.34,20.42,6.49,2.0,409.0,22.08,21.87,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:16:00,19.16,18.84,19.16,71.60,73.60,71.60,20.17,20.31,20.36,6.30,2.0,411.0,22.08,21.90,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:17:00,19.29,18.92,19.29,71.80,73.70,71.80,20.19,20.33,20.40,6.30,2.0,411.0,22.10,21.91,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:18:00,19.68,19.27,19.68,71.40,73.30,71.40,20.27,20.41,20.49,6.54,2.0,410.0,22.13,21.95,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:19:00,20.08,19.65,20.08,70.90,72.90,70.90,20.36,20.51,20.58,6.82,2.0,410.0,22.13,21.95,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:20:00,20.43,19.98,20.43,70.50,72.40,70.50,20.42,20.59,20.64,7.09,2.0,411.0,22.18,22.00,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:21:00,20.52,20.09,20.52,70.10,72.20,70.10,20.42,20.61,20.64,7.21,2.0,411.0,22.18,22.00,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:22:00,20.31,19.93,20.31,70.30,72.40,70.30,20.42,20.58,20.63,7.07,2.0,411.0,22.20,22.03,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:23:00,20.01,19.65,20.01,70.70,72.80,70.70,20.37,20.52,20.57,6.84,2.0,412.0,22.23,22.05,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:24:00,19.69,19.36,19.69,71.20,73.20,71.20,20.31,20.46,20.50,6.60,2.0,413.0,22.23,22.05,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:25:00,19.41,19.09,19.41,71.70,73.70,71.70,20.24,20.39,20.42,6.38,2.0,412.0,22.26,22.09,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:26:00,19.23,18.91,19.23,72.20,74.20,72.20,20.18,20.36,20.39,6.20,2.0,412.0,22.28,22.10,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:27:00,19.45,19.07,19.45,72.30,74.20,72.30,20.26,20.40,20.45,6.25,2.0,412.0,22.28,22.11,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:28:00,19.94,19.51,19.94,71.90,73.80,71.90,20.37,20.52,20.56,6.54,2.0,413.0,22.33,22.15,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:29:00,20.45,19.98,20.45,71.20,73.20,71.20,20.48,20.64,20.67,6.91,2.0,413.0,22.33,22.15,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:30:00,20.70,20.24,20.70,70.60,72.70,70.60,20.52,20.66,20.69,7.19,2.0,412.0,22.33,22.15,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:31:00,20.55,20.15,20.55,70.50,72.70,70.50,20.50,20.66,20.69,7.14,2.0,413.0,22.38,22.20,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:32:00,20.26,19.89,20.26,70.80,73.00,70.80,20.46,20.62,20.64,6.94,2.0,414.0,22.38,22.20,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:33:00,19.93,19.59,19.93,71.20,73.30,71.20,20.41,20.56,20.57,6.70,2.0,414.0,22.39,22.20,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:34:00,19.62,19.31,19.62,71.60,73.60,71.60,20.34,20.49,20.51,6.49,2.0,414.0,22.43,22.25,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:35:00,19.36,19.04,19.36,71.90,73.90,71.90,20.27,20.43,20.43,6.31,2.0,415.0,22.43,22.25,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:36:00,19.27,18.93,19.27,72.30,74.30,72.30,20.24,20.41,20.40,6.19,2.0,414.0,22.43,22.25,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:37:00,19.62,19.23,19.62,72.20,74.10,72.20,20.37,20.50,20.52,6.35,2.0,414.0,22.48,22.28,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:38:00,20.18,19.75,20.18,71.60,73.50,71.60,20.50,20.64,20.66,6.72,2.0,415.0,22.48,22.30,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:39:00,20.68,20.23,20.68,70.70,72.80,70.70,20.57,20.75,20.74,7.13,2.0,415.0,22.48,22.30,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:40:00,20.76,20.34,20.76,70.30,72.50,70.30,20.57,20.76,20.74,7.27,2.0,414.0,22.51,22.34,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:41:00,20.54,20.14,20.54,70.40,72.60,70.40,20.56,20.72,20.72,7.14,2.0,415.0,22.53,22.35,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:42:00,20.21,19.85,20.21,70.80,72.90,70.80,20.51,20.66,20.67,6.92,2.0,416.0,22.53,22.35,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:43:00,19.88,19.55,19.88,71.20,73.30,71.20,20.45,20.59,20.60,6.68,2.0,416.0,22.53,22.40,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:44:00,19.58,19.27,19.58,71.60,73.60,71.60,20.38,20.53,20.52,6.48,2.0,417.0,22.58,22.40,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:45:00,19.33,19.01,19.33,71.90,73.90,71.90,20.30,20.47,20.45,6.29,2.0,417.0,22.58,22.40,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:46:00,19.30,18.95,19.30,72.30,74.30,72.30,20.30,20.46,20.46,6.20,2.0,418.0,22.58,22.45,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:47:00,19.69,19.29,19.69,72.10,74.00,72.10,20.42,20.55,20.56,6.40,2.0,417.0,22.61,22.45,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:48:00,20.21,19.79,20.21,71.50,73.40,71.50,20.53,20.67,20.68,6.75,2.0,417.0,22.63,22.45,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:49:00,20.66,20.22,20.66,70.80,72.70,70.80,20.62,20.76,20.78,7.11,2.0,417.0,22.63,22.48,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:50:00,20.71,20.29,20.71,70.40,72.50,70.40,20.62,20.76,20.78,7.24,2.0,417.0,22.63,22.50,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:51:00,20.47,20.09,20.47,70.50,72.70,70.50,20.58,20.73,20.73,7.10,2.0,418.0,22.66,22.50,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:52:00,20.14,19.80,20.14,70.90,73.00,70.90,20.53,20.67,20.67,6.87,2.0,417.0,22.68,22.50,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:53:00,19.83,19.50,19.83,71.20,73.30,71.20,20.46,20.60,20.60,6.65,2.0,420.0,22.68,22.54,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:54:00,19.53,19.22,19.53,71.60,73.60,71.60,20.39,20.53,20.52,6.45,2.0,419.0,22.68,22.55,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:55:00,19.29,18.98,19.29,72.00,74.00,72.00,20.32,20.46,20.45,6.26,2.0,420.0,22.69,22.55,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:56:00,19.33,18.99,19.33,72.30,74.20,72.30,20.34,20.47,20.47,6.21,2.0,419.0,22.73,22.55,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:57:00,19.75,19.36,19.75,71.90,73.80,71.90,20.45,20.57,20.58,6.46,2.0,419.0,22.73,22.56,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:58:00,20.25,19.82,20.25,71.20,73.20,71.20,20.56,20.68,20.70,6.83,2.0,419.0,22.73,22.60,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 01:59:00,20.63,20.18,20.63,70.50,72.50,70.50,20.62,20.76,20.74,7.16,2.0,419.0,22.73,22.60,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:00:00,20.62,20.21,20.62,70.20,72.30,70.20,20.62,20.76,20.74,7.24,2.0,420.0,22.76,22.60,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:01:00,20.36,19.99,20.36,70.30,72.50,70.30,20.56,20.70,20.71,7.09,2.0,421.0,22.78,22.60,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:02:00,20.02,19.69,20.02,70.80,72.80,70.80,20.51,20.64,20.64,6.84,2.0,419.0,22.78,22.64,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:03:00,19.70,19.40,19.70,71.20,73.20,71.20,20.45,20.57,20.57,6.61,2.0,421.0,22.78,22.65,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:04:00,19.42,19.12,19.42,71.50,73.50,71.50,20.36,20.49,20.49,6.42,2.0,421.0,22.78,22.65,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:05:00,19.27,18.95,19.27,72.00,74.00,72.00,20.32,20.46,20.44,6.25,2.0,421.0,22.82,22.65,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:06:00,19.50,19.13,19.50,72.00,73.90,72.00,20.39,20.50,20.51,6.35,2.0,421.0,22.83,22.65,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:07:00,19.91,19.49,19.91,71.50,73.50,71.50,20.47,20.59,20.60,6.62,2.0,421.0,22.83,22.70,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:08:00,20.31,19.87,20.31,71.00,73.00,71.00,20.55,20.68,20.69,6.92,2.0,422.0,22.83,22.70,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:09:00,20.60,20.15,20.60,70.40,72.50,70.40,20.62,20.71,20.74,7.18,2.0,422.0,22.83,22.70,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:10:00,20.56,20.14,20.56,70.20,72.40,70.20,20.61,20.71,20.74,7.21,2.0,422.0,22.87,22.70,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:11:00,20.28,19.92,20.28,70.40,72.50,70.40,20.56,20.68,20.69,7.03,2.0,422.0,22.88,22.70,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:12:00,19.94,19.63,19.94,70.80,72.80,70.80,20.50,20.62,20.62,6.79,2.0,422.0,22.88,22.75,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:13:00,19.61,19.33,19.61,71.30,73.20,71.30,20.43,20.54,20.55,6.56,2.0,423.0,22.88,22.75,0.0,2918.0,20.0,7.01,10.0,400.0
2023/07/12 02:14:00,19.34,19.07,19.34,71.70,73.60,71.70,20.37,20.48,20.49,6.35,2.0,424.0,22.88,22.75,0.0,2918.0,20.0,7.01,10.0,400.0
